"","DayOfWeek","Date","Sales","StateHoliday","SchoolHoliday","InventoryStart","NextDay","InventoryFinal"
"122",7,"2013-07-21",11,"0",0,16,7,0
"123",1,"2013-07-22",6,"0",1,6,7,0
"124",2,"2013-07-23",6,"0",1,6,7,0
"125",3,"2013-07-24",5,"0",1,13,7,0
"126",4,"2013-07-25",6,"0",1,14,7,0
"127",5,"2013-07-26",6,"0",1,15,7,0
"128",6,"2013-07-27",5,"0",0,7,7,0
"129",7,"2013-07-28",11,"0",0,5,7,0
"130",6,"2013-08-03",6,"0",0,7,7,0
"131",7,"2013-08-04",15,"0",0,9,7,0
"132",1,"2013-08-05",6,"0",0,11,7,0
"133",2,"2013-08-06",6,"0",0,13,7,0
"134",3,"2013-08-07",6,"0",0,9,6,0
"135",4,"2013-08-08",6,"0",0,6,6,0
"136",5,"2013-08-09",6,"0",0,14,6,0
"137",6,"2013-08-10",6,"0",0,13,6,0
"138",7,"2013-08-11",13,"0",0,15,6,0
"139",6,"2013-08-17",5,"0",0,6,6,0
"140",7,"2013-08-18",12,"0",0,13,6,0
"141",1,"2013-08-19",6,"0",0,12,6,0
"142",2,"2013-08-20",6,"0",0,8,6,0
"143",3,"2013-08-21",6,"0",0,6,6,0
"144",4,"2013-08-22",5,"0",0,6,6,0
"145",5,"2013-08-23",6,"0",0,10,6,0
"146",6,"2013-08-24",5,"0",0,6,6,0
"147",7,"2013-08-25",12,"0",0,12,6,0
"148",6,"2013-08-31",6,"0",0,7,6,0
"149",7,"2013-09-01",14,"0",0,16,6,0
"150",1,"2013-09-02",6,"0",0,8,6,0
"151",2,"2013-09-03",6,"0",0,11,6,0
"152",3,"2013-09-04",6,"0",0,16,6,0
"153",4,"2013-09-05",6,"0",0,15,6,0
"154",5,"2013-09-06",6,"0",0,6,6,0
"155",6,"2013-09-07",6,"0",0,9,6,0
"156",7,"2013-09-08",9,"0",0,8,6,0
"157",6,"2013-09-14",5,"0",0,12,6,0
"158",7,"2013-09-15",13,"0",0,15,6,0
"159",1,"2013-09-16",6,"0",0,8,6,0
"160",2,"2013-09-17",5,"0",0,12,6,0
"161",3,"2013-09-18",5,"0",0,12,6,0
"162",4,"2013-09-19",5,"0",0,11,6,0
"163",5,"2013-09-20",5,"0",0,5,6,0
"164",6,"2013-09-21",5,"0",0,10,6,0
"165",7,"2013-09-22",8,"0",0,8,6,0
"166",6,"2013-09-28",6,"0",0,16,6,0
"167",7,"2013-09-29",14,"0",0,7,6,0
"168",1,"2013-09-30",7,"0",1,8,6,0
"169",2,"2013-10-01",7,"0",1,10,6,0
"170",3,"2013-10-02",7,"0",1,7,6,0
"171",4,"2013-10-03",14,"a",1,14,6,0
"172",5,"2013-10-04",6,"0",1,8,6,0
"173",6,"2013-10-05",5,"0",0,13,6,0
"174",7,"2013-10-06",10,"0",0,9,6,0
"175",6,"2013-10-12",6,"0",0,5,6,0
"176",7,"2013-10-13",13,"0",0,13,6,0
"177",1,"2013-10-14",6,"0",0,10,6,0
"178",2,"2013-10-15",5,"0",0,9,6,0
"179",3,"2013-10-16",6,"0",0,11,6,0
"180",4,"2013-10-17",6,"0",0,15,6,0
"181",5,"2013-10-18",6,"0",0,6,6,0
"182",6,"2013-10-19",5,"0",0,16,6,0
"183",7,"2013-10-20",8,"0",0,16,6,0
"184",6,"2013-10-26",5,"0",0,6,6,0
"185",7,"2013-10-27",12,"0",0,6,6,0
"186",1,"2013-10-28",6,"0",0,8,6,0
"187",2,"2013-10-29",5,"0",0,7,6,0
"188",3,"2013-10-30",6,"0",0,6,6,0
"189",4,"2013-10-31",6,"0",0,14,6,0
"190",5,"2013-11-01",7,"0",0,13,6,0
"191",6,"2013-11-02",6,"0",0,8,6,0
"192",7,"2013-11-03",9,"0",0,16,6,0
"193",6,"2013-11-09",6,"0",0,7,6,0
"194",7,"2013-11-10",12,"0",0,6,6,0
"195",1,"2013-11-11",6,"0",0,8,6,0
"196",2,"2013-11-12",6,"0",0,7,6,0
"197",3,"2013-11-13",6,"0",0,15,6,0
"198",4,"2013-11-14",6,"0",0,11,6,0
"199",5,"2013-11-15",6,"0",0,14,6,0
"200",6,"2013-11-16",6,"0",0,9,6,0
"201",7,"2013-11-17",14,"0",0,14,6,0
"202",6,"2013-11-23",6,"0",0,12,6,0
"203",7,"2013-11-24",14,"0",0,16,6,0
"204",1,"2013-11-25",7,"0",0,8,6,0
"205",2,"2013-11-26",6,"0",0,7,6,0
"206",3,"2013-11-27",7,"0",0,14,6,0
"207",4,"2013-11-28",7,"0",0,16,6,0
"208",5,"2013-11-29",7,"0",0,11,6,0
"209",6,"2013-11-30",7,"0",0,10,6,0
"210",7,"2013-12-01",14,"0",0,15,6,0
"211",6,"2013-12-07",7,"0",0,9,6,0
"212",7,"2013-12-08",8,"0",0,10,6,0
"213",1,"2013-12-09",6,"0",0,10,6,0
"214",2,"2013-12-10",6,"0",0,9,6,0
"215",3,"2013-12-11",7,"0",0,5,6,0
"216",4,"2013-12-12",6,"0",0,7,6,0
"217",5,"2013-12-13",6,"0",0,14,6,0
"218",6,"2013-12-14",7,"0",0,9,6,0
"219",7,"2013-12-15",14,"0",0,8,6,0
"220",6,"2013-12-21",8,"0",0,15,6,0
"221",7,"2013-12-22",9,"0",0,7,6,0
"222",1,"2013-12-23",9,"0",1,6,6,0
"223",2,"2013-12-24",4,"0",1,15,6,0
"224",3,"2013-12-25",7,"c",1,8,6,0
"225",4,"2013-12-26",9,"c",1,10,6,0
"226",5,"2013-12-27",7,"0",1,13,6,0
"227",6,"2013-12-28",7,"0",0,16,6,0
"228",7,"2013-12-29",13,"0",0,12,6,0
"229",1,"2013-12-30",9,"0",1,6,6,0
"230",2,"2013-12-31",6,"0",1,11,6,0
"231",3,"2014-01-01",5,"a",1,16,6,0
"232",4,"2014-01-02",7,"0",1,6,6,0
"233",5,"2014-01-03",6,"0",1,12,6,0
"234",6,"2014-01-04",7,"0",0,7,6,0
"235",7,"2014-01-05",11,"0",0,9,6,0
"236",6,"2014-01-11",6,"0",0,16,6,0
"237",7,"2014-01-12",12,"0",0,9,6,0
"238",1,"2014-01-13",6,"0",0,10,6,0
"239",2,"2014-01-14",6,"0",0,7,6,0
"240",3,"2014-01-15",5,"0",0,11,6,0
"241",4,"2014-01-16",5,"0",0,6,6,0
"242",5,"2014-01-17",6,"0",0,9,6,0
"243",6,"2014-01-18",6,"0",0,16,6,0
"244",7,"2014-01-19",12,"0",0,12,6,0
"245",6,"2014-01-25",5,"0",0,12,6,0
"246",7,"2014-01-26",8,"0",0,13,6,0
"247",1,"2014-01-27",6,"0",0,10,6,0
"248",2,"2014-01-28",6,"0",0,8,6,0
"249",3,"2014-01-29",6,"0",0,15,6,0
"250",4,"2014-01-30",5,"0",0,13,6,0
"251",5,"2014-01-31",8,"0",0,8,6,0
"252",6,"2014-02-01",6,"0",0,12,6,0
"253",7,"2014-02-02",13,"0",0,15,6,0
"254",6,"2014-02-08",5,"0",0,9,6,0
"255",7,"2014-02-09",12,"0",0,5,6,0
"256",1,"2014-02-10",6,"0",0,16,6,0
"257",2,"2014-02-11",5,"0",0,5,6,0
"258",3,"2014-02-12",6,"0",0,6,6,0
"259",4,"2014-02-13",6,"0",0,13,6,0
"260",5,"2014-02-14",6,"0",0,6,6,0
"261",6,"2014-02-15",5,"0",0,8,6,0
"262",7,"2014-02-16",12,"0",0,15,6,0
"263",6,"2014-02-22",5,"0",0,15,6,0
"264",7,"2014-02-23",11,"0",0,9,6,0
"265",1,"2014-02-24",6,"0",0,7,6,0
"266",2,"2014-02-25",5,"0",0,15,6,0
"267",3,"2014-02-26",5,"0",0,14,6,0
"268",4,"2014-02-27",5,"0",0,9,5,0
"269",5,"2014-02-28",7,"0",0,5,5,0
"270",6,"2014-03-01",6,"0",0,13,5,0
"271",7,"2014-03-02",13,"0",0,10,5,0
"272",6,"2014-03-08",6,"0",0,9,5,0
"273",7,"2014-03-09",8,"0",0,10,5,0
"274",1,"2014-03-10",6,"0",0,10,5,0
"275",2,"2014-03-11",6,"0",0,5,5,0
"276",3,"2014-03-12",6,"0",0,6,5,0
"277",4,"2014-03-13",5,"0",0,10,5,0
"278",5,"2014-03-14",6,"0",0,12,5,0
"279",6,"2014-03-15",6,"0",0,13,5,0
"280",7,"2014-03-16",12,"0",0,14,5,0
"281",6,"2014-03-22",6,"0",0,5,5,0
"282",7,"2014-03-23",12,"0",0,14,5,0
"283",1,"2014-03-24",6,"0",0,14,5,0
"284",2,"2014-03-25",5,"0",0,6,5,0
"285",3,"2014-03-26",6,"0",0,6,5,0
"286",4,"2014-03-27",6,"0",0,16,5,0
"287",5,"2014-03-28",6,"0",0,14,5,0
"288",6,"2014-03-29",6,"0",0,14,5,0
"289",7,"2014-03-30",11,"0",0,15,5,0
"290",6,"2014-04-05",6,"0",0,5,5,0
"291",7,"2014-04-06",10,"0",0,6,5,0
"292",1,"2014-04-07",6,"0",0,8,5,0
"293",2,"2014-04-08",5,"0",0,13,5,0
"294",3,"2014-04-09",7,"0",0,5,5,0
"295",4,"2014-04-10",6,"0",0,7,5,0
"296",5,"2014-04-11",6,"0",0,5,5,0
"297",6,"2014-04-12",6,"0",0,9,5,0
"298",7,"2014-04-13",11,"0",0,5,5,0
"299",6,"2014-04-19",7,"0",0,7,5,0
"300",7,"2014-04-20",8,"0",0,9,5,0
"301",1,"2014-04-21",12,"b",1,6,5,0
"302",2,"2014-04-22",6,"0",1,14,5,0
"303",3,"2014-04-23",6,"0",1,12,5,0
"304",4,"2014-04-24",6,"0",1,5,5,0
"305",5,"2014-04-25",6,"0",1,10,5,0
"306",6,"2014-04-26",5,"0",0,16,5,0
"307",7,"2014-04-27",11,"0",0,13,5,0
"308",6,"2014-05-03",6,"0",0,14,5,0
"309",7,"2014-05-04",9,"0",0,6,5,0
"310",6,"2014-05-10",6,"0",0,5,5,0
"311",7,"2014-05-11",12,"0",0,5,5,0
"312",1,"2014-05-12",6,"0",0,15,5,0
"313",2,"2014-05-13",6,"0",0,11,5,0
"314",3,"2014-05-14",6,"0",0,5,5,0
"315",4,"2014-05-15",6,"0",0,9,5,0
"316",5,"2014-05-16",6,"0",0,9,5,0
"317",6,"2014-05-17",6,"0",0,11,5,0
"318",7,"2014-05-18",11,"0",0,11,5,0
"319",6,"2014-05-24",6,"0",0,16,5,0
"320",7,"2014-05-25",12,"0",0,13,5,0
"321",1,"2014-05-26",7,"0",0,15,5,0
"322",2,"2014-05-27",7,"0",0,16,5,0
"323",3,"2014-05-28",8,"0",0,15,5,0
"324",4,"2014-05-29",15,"a",0,10,5,0
"325",5,"2014-05-30",8,"0",1,9,5,0
"326",6,"2014-05-31",6,"0",0,7,5,0
"327",7,"2014-06-01",12,"0",0,14,5,0
"328",6,"2014-06-07",7,"0",0,11,5,0
"329",7,"2014-06-08",13,"0",0,8,5,0
"330",1,"2014-06-09",13,"a",0,12,5,0
"331",2,"2014-06-10",7,"0",0,7,4,0
"332",3,"2014-06-11",6,"0",0,8,4,0
"333",4,"2014-06-12",6,"0",0,13,4,0
"334",5,"2014-06-13",7,"0",0,16,4,0
"335",6,"2014-06-14",6,"0",0,16,4,0
"336",7,"2014-06-15",13,"0",0,9,4,0
"337",6,"2014-06-21",6,"0",0,13,4,0
"338",7,"2014-06-22",13,"0",0,8,4,0
"339",1,"2014-06-23",7,"0",0,12,4,0
"340",2,"2014-06-24",6,"0",0,7,4,0
"341",3,"2014-06-25",7,"0",0,12,4,0
"342",4,"2014-06-26",6,"0",0,11,4,0
"343",5,"2014-06-27",7,"0",0,14,4,0
"344",6,"2014-06-28",6,"0",0,6,4,0
"345",7,"2014-06-29",14,"0",0,14,4,0
"346",6,"2014-07-05",6,"0",0,7,4,0
"347",7,"2014-07-06",14,"0",0,9,4,0
"348",1,"2014-07-07",7,"0",0,8,4,0
"349",2,"2014-07-08",6,"0",0,5,4,0
"350",3,"2014-07-09",7,"0",1,11,4,0
"351",4,"2014-07-10",6,"0",1,10,4,0
"352",5,"2014-07-11",7,"0",1,12,4,0
"353",6,"2014-07-12",6,"0",0,15,4,0
"354",7,"2014-07-13",14,"0",0,13,4,0
"355",6,"2014-07-19",5,"0",0,11,4,0
"356",7,"2014-07-20",11,"0",0,10,4,0
"357",1,"2014-07-21",6,"0",1,9,4,0
"358",2,"2014-07-22",6,"0",1,5,4,0
"359",3,"2014-07-23",6,"0",1,13,4,0
"360",4,"2014-07-24",6,"0",1,13,4,0
"361",5,"2014-07-25",6,"0",1,16,4,0
"362",6,"2014-07-26",6,"0",0,8,4,0
"363",7,"2014-07-27",12,"0",0,16,4,0
"364",6,"2014-08-02",6,"0",0,14,4,0
"365",7,"2014-08-03",13,"0",0,9,4,0
"366",6,"2014-08-09",6,"0",0,9,4,0
"367",7,"2014-08-10",13,"0",0,13,4,0
"368",1,"2014-08-11",7,"0",1,5,4,0
"369",2,"2014-08-12",6,"0",1,13,4,0
"370",3,"2014-08-13",7,"0",1,7,4,0
"371",4,"2014-08-14",6,"0",1,8,4,0
"372",5,"2014-08-15",6,"0",1,10,4,0
"373",6,"2014-08-16",5,"0",0,7,4,0
"374",7,"2014-08-17",12,"0",0,7,4,0
"375",6,"2014-08-23",6,"0",0,8,4,0
"376",7,"2014-08-24",13,"0",0,9,4,0
"377",1,"2014-08-25",7,"0",0,15,4,0
"378",2,"2014-08-26",6,"0",0,9,4,0
"379",3,"2014-08-27",6,"0",0,11,4,0
"380",4,"2014-08-28",7,"0",0,12,4,0
"381",5,"2014-08-29",7,"0",0,16,4,0
"382",6,"2014-08-30",6,"0",0,7,4,0
"383",7,"2014-08-31",15,"0",0,11,4,0
"384",6,"2014-09-06",6,"0",0,6,4,0
"385",7,"2014-09-07",9,"0",0,12,4,0
"386",1,"2014-09-08",6,"0",0,9,4,0
"387",2,"2014-09-09",6,"0",0,10,4,0
"388",3,"2014-09-10",6,"0",0,16,4,0
"389",4,"2014-09-11",6,"0",0,12,4,0
"390",5,"2014-09-12",6,"0",0,16,4,0
"391",6,"2014-09-13",6,"0",0,8,4,0
"392",7,"2014-09-14",13,"0",0,8,4,0
"393",6,"2014-09-20",6,"0",0,15,4,0
"394",7,"2014-09-21",12,"0",0,15,3,0
"395",1,"2014-09-22",6,"0",0,11,3,0
"396",2,"2014-09-23",6,"0",0,8,3,0
"397",3,"2014-09-24",5,"0",0,10,3,0
"398",4,"2014-09-25",6,"0",0,12,3,0
"399",5,"2014-09-26",7,"0",0,8,3,0
"400",6,"2014-09-27",6,"0",0,13,3,0
"401",7,"2014-09-28",12,"0",0,8,3,0
"402",6,"2014-10-04",7,"0",0,15,3,0
"403",7,"2014-10-05",8,"0",0,11,3,0
"404",6,"2014-10-11",7,"0",0,15,3,0
"405",7,"2014-10-12",14,"0",0,11,3,0
"406",1,"2014-10-13",7,"0",0,9,3,0
"407",2,"2014-10-14",6,"0",0,12,3,0
"408",3,"2014-10-15",6,"0",0,13,3,0
"409",4,"2014-10-16",7,"0",0,13,3,0
"410",5,"2014-10-17",7,"0",0,15,3,0
"411",6,"2014-10-18",5,"0",0,7,3,0
"412",7,"2014-10-19",11,"0",0,12,3,0
"413",6,"2014-10-25",6,"0",0,8,3,0
"414",7,"2014-10-26",11,"0",0,9,3,0
"415",1,"2014-10-27",6,"0",1,7,3,0
"416",2,"2014-10-28",6,"0",1,13,3,0
"417",3,"2014-10-29",6,"0",1,11,3,0
"418",4,"2014-10-30",6,"0",1,9,3,0
"419",5,"2014-10-31",7,"0",1,9,3,0
"420",6,"2014-11-01",6,"0",0,12,3,0
"421",7,"2014-11-02",12,"0",0,9,3,0
"422",6,"2014-11-08",6,"0",0,11,3,0
"423",7,"2014-11-09",8,"0",0,7,3,0
"424",6,"2014-11-15",6,"0",0,10,3,0
"425",7,"2014-11-16",13,"0",0,7,3,0
"426",1,"2014-11-17",7,"0",0,11,3,0
"427",2,"2014-11-18",7,"0",0,9,3,0
"428",3,"2014-11-19",7,"0",0,6,3,0
"429",4,"2014-11-20",6,"0",0,7,3,0
"430",5,"2014-11-21",7,"0",0,9,3,0
"431",6,"2014-11-22",6,"0",0,10,3,0
"432",7,"2014-11-23",13,"0",0,15,3,0
"433",6,"2014-11-29",8,"0",0,13,3,0
"434",7,"2014-11-30",16,"0",0,7,3,0
"435",6,"2014-12-06",7,"0",0,5,3,0
"436",7,"2014-12-07",9,"0",0,7,3,0
"437",1,"2014-12-08",7,"0",0,7,3,0
"438",2,"2014-12-09",6,"0",0,15,3,0
"439",3,"2014-12-10",6,"0",0,7,3,0
"440",4,"2014-12-11",7,"0",0,5,3,0
"441",5,"2014-12-12",7,"0",0,9,3,0
"442",6,"2014-12-13",7,"0",0,8,3,0
"443",7,"2014-12-14",14,"0",0,10,3,0
"444",6,"2014-12-20",8,"0",0,16,3,0
"445",7,"2014-12-21",9,"0",0,14,3,0
"446",1,"2014-12-22",9,"0",1,14,3,0
"447",2,"2014-12-23",9,"0",1,12,3,0
"448",3,"2014-12-24",4,"0",1,11,3,0
"449",4,"2014-12-25",8,"c",1,13,3,0
"450",5,"2014-12-26",10,"c",1,13,3,0
"451",6,"2014-12-27",6,"0",0,15,3,0
"452",7,"2014-12-28",12,"0",0,12,3,0
"453",1,"2014-12-29",7,"0",1,13,3,0
"454",2,"2014-12-30",9,"0",1,6,3,0
"455",3,"2014-12-31",6,"0",1,6,3,0
"456",4,"2015-01-01",5,"a",1,6,3,0
"457",5,"2015-01-02",7,"0",1,16,2,0
"458",6,"2015-01-03",6,"0",0,9,2,0
"459",7,"2015-01-04",10,"0",0,7,2,0
"460",6,"2015-01-10",6,"0",0,8,2,0
"461",7,"2015-01-11",11,"0",0,8,2,0
"462",6,"2015-01-17",5,"0",0,12,2,0
"463",7,"2015-01-18",12,"0",0,9,2,0
"464",1,"2015-01-19",7,"0",0,12,2,0
"465",2,"2015-01-20",6,"0",0,16,2,0
"466",3,"2015-01-21",6,"0",0,11,2,0
"467",4,"2015-01-22",6,"0",0,6,2,0
"468",5,"2015-01-23",6,"0",0,13,2,0
"469",6,"2015-01-24",6,"0",0,16,2,0
"470",7,"2015-01-25",8,"0",0,5,2,0
"471",6,"2015-01-31",7,"0",0,8,2,0
"472",7,"2015-02-01",14,"0",0,16,2,0
"473",6,"2015-02-07",6,"0",0,6,2,0
"474",7,"2015-02-08",12,"0",0,9,2,0
"475",1,"2015-02-09",6,"0",0,12,2,0
"476",2,"2015-02-10",6,"0",0,15,2,0
"477",3,"2015-02-11",6,"0",0,15,2,0
"478",4,"2015-02-12",6,"0",0,10,2,0
"479",5,"2015-02-13",6,"0",0,16,2,0
"480",6,"2015-02-14",6,"0",0,10,2,0
"481",7,"2015-02-15",13,"0",0,8,2,0
"482",6,"2015-02-21",6,"0",0,12,2,0
"483",7,"2015-02-22",13,"0",0,11,2,0
"484",1,"2015-02-23",7,"0",0,10,2,0
"485",2,"2015-02-24",6,"0",0,6,2,0
"486",3,"2015-02-25",7,"0",0,14,2,0
"487",4,"2015-02-26",7,"0",0,7,2,0
"488",5,"2015-02-27",8,"0",0,8,2,0
"489",6,"2015-02-28",7,"0",0,12,2,0
"490",7,"2015-03-01",16,"0",0,9,2,0
"491",6,"2015-03-07",6,"0",0,12,2,0
"492",7,"2015-03-08",8,"0",0,6,2,0
"493",1,"2015-03-09",7,"0",0,7,2,0
"494",2,"2015-03-10",6,"0",0,15,2,0
"495",3,"2015-03-11",6,"0",0,15,2,0
"496",4,"2015-03-12",6,"0",0,16,2,0
"497",5,"2015-03-13",6,"0",0,10,2,0
"498",6,"2015-03-14",6,"0",0,6,2,0
"499",7,"2015-03-15",13,"0",0,14,2,0
"500",6,"2015-03-21",6,"0",0,10,2,0
"501",7,"2015-03-22",13,"0",0,13,2,0
"502",1,"2015-03-23",7,"0",0,7,2,0
"503",2,"2015-03-24",6,"0",0,6,2,0
"504",3,"2015-03-25",6,"0",0,9,2,0
"505",4,"2015-03-26",6,"0",0,12,2,0
"506",5,"2015-03-27",7,"0",0,9,2,0
"507",6,"2015-03-28",7,"0",0,7,2,0
"508",7,"2015-03-29",11,"0",0,10,2,0
"509",6,"2015-04-04",8,"0",0,5,2,0
"510",7,"2015-04-05",11,"0",0,13,2,0
"511",1,"2015-04-06",12,"b",1,12,2,0
"512",2,"2015-04-07",7,"0",1,14,2,0
"513",3,"2015-04-08",7,"0",1,10,2,0
"514",4,"2015-04-09",6,"0",1,14,2,0
"515",5,"2015-04-10",7,"0",1,14,2,0
"516",6,"2015-04-11",6,"0",0,14,2,0
"517",7,"2015-04-12",13,"0",0,10,2,0
"518",6,"2015-04-18",6,"0",0,14,2,0
"519",7,"2015-04-19",11,"0",0,8,2,0
"520",1,"2015-04-20",7,"0",0,9,1,0
"521",2,"2015-04-21",6,"0",0,6,1,0
"522",3,"2015-04-22",5,"0",0,12,1,0
"523",4,"2015-04-23",5,"0",0,9,1,0
"524",5,"2015-04-24",7,"0",0,15,1,0
"525",6,"2015-04-25",6,"0",0,14,1,0
"526",7,"2015-04-26",12,"0",0,6,1,0
"527",6,"2015-05-02",7,"0",0,7,1,0
"528",7,"2015-05-03",8,"0",0,11,1,0
"529",6,"2015-05-09",5,"0",0,6,1,0
"530",7,"2015-05-10",14,"0",0,14,1,0
"531",1,"2015-05-11",6,"0",0,10,1,0
"532",2,"2015-05-12",6,"0",0,5,1,0
"533",3,"2015-05-13",8,"0",0,15,1,0
"534",4,"2015-05-14",15,"a",0,8,1,0
